
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
471,8,Oct 18 2014,7:30 PM,Sat,(19) Nebraska,38,@,Northwestern,17,Big Ten Network,
476,8,Oct 18 2014,3:30 PM,Sat,(13) Ohio State,56,,Rutgers,17,ABC (ESPN 2 mirror),
477,8,Oct 18 2014,8:00 PM,Sat,(9) Oregon,45,,Washington,20,FS1,
483,8,Oct 18 2014,6:00 PM,Sat,(22) Southern California,56,,Colorado,28,Pac-12 Network,
487,8,Oct 18 2014,4:00 PM,Sat,(12) Texas Christian,42,,(15) Oklahoma State,9,FS1,
490,8,Oct 18 2014,12:00 PM,Sat,West Virginia,41,,(4) Baylor,27,FS1,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
493,9,Oct 23 2014,7:00 PM,Thu,(18) East Carolina,31,,Connecticut,21,ESPN U,
497,9,Oct 24 2014,10:00 PM,Fri,(6) Oregon,59,,California,41,FS1,Levi`s Stadium - Santa Clara CA
499,9,Oct 25 2014,7:30 PM,Sat,(4) Alabama,34,@,Tennessee,20,ESPN 2,
500,9,Oct 25 2014,6:00 PM,Sat,(15) Arizona,59,@,Washington State,37,Pac-12 Network,
501,9,Oct 25 2014,10:45 PM,Sat,(14) Arizona State,24,@,Washington,10,ESPN,
503,9,Oct 25 2014,7:30 PM,Sat,(5) Auburn,42,,South Carolina,35,SEC Network,
508,9,Oct 25 2014,7:00 PM,Sat,(21) Clemson,16,,Syracuse,6,ESPN U,
513,9,Oct 25 2014,12:00 PM,Sat,(11) Kansas State,23,,Texas,0,ESPN,
514,9,Oct 25 2014,7:15 PM,Sat,(24) Louisiana State,10,,(3) Mississippi,7,ESPN,
516,9,Oct 25 2014,3:30 PM,Sat,(23) Marshall,35,,Florida Atlantic,16,FS1,
519,9,Oct 25 2014,3:30 PM,Sat,(8) Michigan State,35,,Michigan,11,ABC,
520,9,Oct 25 2014,3:30 PM,Sat,(1) Mississippi State,45,@,Kentucky,31,CBS,
523,9,Oct 25 2014,12:00 PM,Sat,(16) Nebraska,42,,Rutgers,24,ESPN 2,
527,9,Oct 25 2014,8:00 PM,Sat,(13) Ohio State,31,@,Penn State,24,ABC,
530,9,Oct 25 2014,3:30 PM,Sat,(10) Texas Christian,82,,Texas Tech,27,FOX,
534,9,Oct 25 2014,2:00 PM,Sat,(25) UCLA,40,@,Colorado,37,Pac-12 Network,
535,9,Oct 25 2014,10:00 PM,Sat,(19) Utah,24,,(20) Southern California,21,FS1,
537,9,Oct 25 2014,3:30 PM,Sat,(22) West Virginia,34,@,Oklahoma State,10,ESPN,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
541,10,Oct 30 2014,7:30 PM,Thu,(2) Florida State,42,@,Louisville,31,ESPN,
548,10,Nov 1 2014,11:00 PM,Sat,(15) Arizona State,19,,(18) Utah,16,FS1,
550,10,Nov 1 2014,7:00 PM,Sat,(4) Auburn,35,@,(7) Mississippi,31,ESPN,
551,10,Nov 1 2014,4:00 PM,Sat,(12) Baylor,60,,Kansas,14,FS1,
