Date,PSA Sales,Orders,Online Sls %,Carryout %,Papa Rewards Customer Enrollments
2014-09-17,1999.383333,11846,49.47666007,41.5920986,572281
2014-09-18,2553.73219,14792,50.66618463,41.13710114,572687
2014-09-19,4628.060095,26079,54.41719271,42.04148932,573608
2014-09-20,4435.796476,23316,47.83497624,39.20054898,574334
2014-09-21,2897.965619,16865,53.62212552,39.06907797,574874
2014-09-22,1618.168952,10004,50.90768672,41.99320272,575153
2014-09-23,1965.012571,13329,49.0882598,55.06039463,575498
2014-09-24,1966.588667,11600,49.12803563,42.62068966,575764
2014-09-25,2581.980476,15441,52.18280025,43.59173629,576245
2014-09-26,4362.256762,23790,50.56987759,41.56788567,576901
2014-09-27,4422.200571,24308,51.3581775,39.17640283,577644
2014-09-28,3348.033619,18150,51.09490708,39.54269972,578240
2014-09-29,1842.172571,10966,51.83055597,41.0997629,578535
2014-09-30,2197.723905,14333,49.66203346,53.56868764,578923
2014-10-01,2363.199143,13282,49.18316337,41.28143352,579268
2014-10-02,2637.88981,14691,49.82974667,41.06595875,579663
2014-10-03,4851.741238,25398,48.85341214,41.01504055,580353
2014-10-04,4700.071143,23196,46.50249772,38.4247284,581008
2014-10-05,3026.06219,16712,54.29656452,37.43417903,581516
2014-10-06,1795.576857,10598,49.93389311,41.11153048,581809
2014-10-07,2158.594667,13698,48.42388196,53.48956052,582190
2014-10-08,2214.378952,12029,48.92441303,40.08645773,582491
2014-10-09,2563.456952,14243,49.9512823,40.30049849,582878
2014-10-10,4320.18019,22559,49.38795542,40.68886032,583435
2014-10-11,4295.667143,22605,50.81876411,38.58438399,584072
2014-10-12,3335.913714,18188,55.83909987,37.88761821,584685
2014-10-13,1964.009238,11512,52.0597784,40.28839472,585001
2014-10-14,2391.360571,15320,52.25701758,49.3537859,585501
2014-10-15,2190.509811,12369,50.03101285,40.8440456,585879
2014-10-16,2555.075755,14319,51.18256472,41.51826245,586292
2014-10-17,4397.087547,23372,50.07860263,41.67807633,586942
2014-10-18,4349.501792,23122,51.46738667,38.46120578,587631
2014-10-19,2979.690094,16776,54.36928274,38.90677158,588128
2014-10-20,1713.016226,10139,51.1099918,41.93707466,588371
2014-10-21,2065.023774,13757,48.28816444,54.41593371,588657
2014-10-22,2113.600189,12167,49.31116817,42.65636558,588974
2014-10-23,2492.426698,14030,49.57170823,42.38774056,589356
2014-10-24,4536.607358,24119,51.03800866,41.04647788,590061
2014-10-25,4212.622075,22295,49.59419126,40.16595649,590649
2014-10-26,3015.844623,17123,55.24544847,40.10395375,591147
2014-10-27,1744.033396,10464,52.02040877,41.52331804,591404
2014-10-28,2136.419057,14093,49.39730307,54.23259774,591748
2014-10-29,2295.65783,13032,52.08869509,41.45181093,592097
2014-10-30,2649.045472,14646,52.17319645,41.93636488,592535
2014-10-31,6691.714717,30600,48.50257519,41.45098039,593283
2014-11-01,4783.845283,25236,52.50281608,36.44396893,594017
2014-11-02,2917.568679,16205,53.0753896,37.85251466,594548
2014-11-03,1856.931415,10922,51.05855557,39.95605201,594856
2014-11-04,2409.62783,15652,50.50001654,51.2905699,595238
2014-11-05,2187.135849,12350,48.54770864,41.74898785,595545
2014-11-06,2528.931509,14377,51.34511652,40.94734646,595967
2014-11-07,4568.683491,24086,51.17205743,40.41767002,596575
2014-11-08,4521.764906,23928,50.1135389,38.19374791,597273
2014-11-09,3028.445472,16734,53.90083374,38.16780208,597754
2014-11-10,2084.284906,12612,56.55867675,43.05423406,598113
2014-11-11,2154.658491,14018,47.39690832,53.37423313,598443
2014-11-12,2151.251698,12161,50.84773375,41.31239207,598776
2014-11-13,2641.64934,14620,52.98070106,38.57045144,599161
